id;description;amount;timestamp;merchant;operation_type;side
2165;"Incoming transfer";2784,14;"2023-05-22 06:05:20";"Leclerc";"direct_debit";"credit"
2166;"Subscription to SFR";-1120,92;"2023-07-03 21:37:51";"SFR";"refund";"debit"
2167;"Online payment";-1817,77;"2023-06-22 09:39:32";"SFR";"refund";"debit"
2168;"Refund from TotalEnergies";817,97;"2023-03-11 06:37:55";"TotalEnergies";"direct_debit";"credit"
2169;"Online payment";-1434,55;"2023-07-07 17:58:32";"Darty";"direct_debit";"debit"
2170;"Refund from SFR";-1163,97;"2023-02-04 16:25:21";"SFR";"refund";"debit"
2171;"Purchase at Deliveroo";1820,24;"2023-01-31 22:50:17";"Deliveroo";"direct_debit";"credit"
2172;"Subscription to Transilien";-739,82;"2023-04-27 00:30:16";"Transilien";"transfer";"debit"
2173;"Incoming transfer";-340,86;"2024-01-13 01:23:57";"Leclerc";"payment";"debit"
2174;"Invoice from SFR";-1563,82;"2023-11-08 02:09:18";"SFR";"transfer";"debit"
2175;"Refund from Orange";-1591,46;"2024-03-22 17:33:53";"Orange";"transfer";"debit"
2176;"Card expense at Bouygues";-657,39;"2023-12-24 02:10:26";"Bouygues";"transfer";"debit"
2177;"Online payment";-1040,64;"2023-12-09 02:35:13";"RATP";"transfer";"debit"
2178;"Outgoing transfer";4443,78;"2023-01-14 17:59:14";"Auchan";"payment";"credit"
2179;"Subscription to Leclerc";-1806,22;"2023-08-07 06:14:03";"Leclerc";"transfer";"debit"
2180;"Card expense at Air France";891,77;"2023-09-05 07:51:10";"Air France";"direct_debit";"credit"
2181;"Outgoing transfer";2304,79;"2023-10-07 09:27:33";"Intermarche";"refund";"credit"
2182;"Receipt from Uber";-583,14;"2023-04-23 17:59:36";"Uber";"transfer";"debit"
2183;"Purchase at Franprix";-206,86;"2024-04-02 09:52:28";"Franprix";"payment";"debit"
2184;"Direct debit";2494,57;"2023-05-07 05:48:06";"TotalEnergies";"payment";"credit"
2185;"Outgoing transfer";1742,45;"2023-09-18 01:03:45";"Amazon.fr";"direct_debit";"credit"
2186;"Card expense at TotalEnergies";3232,62;"2023-07-24 19:00:19";"TotalEnergies";"direct_debit";"credit"
2187;"Invoice from EDF";-394,96;"2023-06-04 12:34:20";"EDF";"payment";"debit"
2188;"Online payment";-591,76;"2024-01-01 00:38:06";"Monoprix";"transfer";"debit"
2189;"Incoming transfer";-1655,23;"2023-07-30 19:49:36";"SNCF";"payment";"debit"
2190;"Card expense at Franprix";3867,67;"2023-03-30 04:39:24";"Franprix";"payment";"credit"
2191;"Purchase at Leclerc";-969,57;"2023-01-15 08:32:15";"Leclerc";"refund";"debit"
2192;"Invoice from Deliveroo";3435,43;"2023-07-24 19:58:06";"Deliveroo";"payment";"credit"
2193;"Refund from Franprix";-304,46;"2023-06-30 04:37:43";"Franprix";"refund";"debit"
2194;"Online payment";1970,87;"2024-01-23 10:25:07";"Fnac";"direct_debit";"credit"
2195;"Outgoing transfer";3820,66;"2023-02-07 01:22:23";"SNCF";"refund";"credit"
2196;"Card expense at Deliveroo";-229,35;"2023-01-18 14:59:45";"Deliveroo";"transfer";"debit"
2197;"Card expense at Air France";-1588,07;"2023-03-14 16:16:19";"Air France";"transfer";"debit"
2198;"Incoming transfer";-1428,98;"2023-08-09 09:42:11";"Uber";"refund";"debit"
2199;"Incoming transfer";-1886,74;"2024-04-22 00:19:26";"SFR";"payment";"debit"
2200;"Card expense at Carrefour";-393,00;"2024-04-16 06:54:46";"Carrefour";"refund";"debit"
2201;"Outgoing transfer";-1374,80;"2023-11-13 04:48:12";"Monoprix";"payment";"debit"
2202;"Invoice from Air France";1547,10;"2023-12-01 23:57:12";"Air France";"direct_debit";"credit"
2203;"Invoice from Lidl";2633,62;"2024-04-04 23:11:52";"Lidl";"payment";"credit"
2204;"Refund from Lidl";4546,84;"2023-11-06 07:11:06";"Lidl";"payment";"credit"
2205;"Refund from EDF";-311,87;"2023-01-03 00:42:22";"EDF";"payment";"debit"
2206;"Incoming transfer";-1484,09;"2023-02-20 03:57:45";"Monoprix";"payment";"debit"
2207;"Receipt from Uber";997,38;"2023-11-02 11:42:27";"Uber";"direct_debit";"credit"
2208;"Outgoing transfer";-353,98;"2023-04-10 07:19:19";"TotalEnergies";"refund";"debit"
2209;"Receipt from Systeme U";-1602,49;"2024-02-19 00:03:12";"Systeme U";"transfer";"debit"
2210;"Outgoing transfer";-1018,43;"2023-05-09 23:50:27";"Deliveroo";"refund";"debit"
2211;"Purchase at SFR";251,73;"2024-04-14 21:41:53";"SFR";"direct_debit";"credit"
2212;"Direct debit";-85,93;"2023-04-30 12:05:44";"Bouygues";"refund";"debit"
2213;"Incoming transfer";-730,22;"2023-02-18 15:37:37";"Systeme U";"transfer";"debit"
2214;"Subscription to Amazon.fr";-514,80;"2023-04-09 19:11:07";"Amazon.fr";"payment";"debit"
2215;"Invoice from Bouygues";3792,54;"2024-01-10 03:56:33";"Bouygues";"transfer";"credit"
2216;"Incoming transfer";4935,59;"2024-03-31 10:06:44";"Orange";"payment";"credit"
2217;"Receipt from Auchan";-988,78;"2023-04-18 16:28:43";"Auchan";"payment";"debit"
2218;"Subscription to La Poste";-564,96;"2023-11-07 19:39:23";"La Poste";"direct_debit";"debit"
2219;"Refund from Franprix";4396,30;"2024-04-22 06:00:28";"Franprix";"refund";"credit"
2220;"Purchase at Franprix";3315,29;"2023-08-06 15:19:58";"Franprix";"transfer";"credit"
2221;"Incoming transfer";4566,37;"2023-10-03 05:02:34";"RATP";"transfer";"credit"
2222;"Refund from Bouygues";-1305,60;"2023-10-31 04:50:02";"Bouygues";"transfer";"debit"
2223;"Direct debit";478,56;"2023-01-07 19:32:39";"SFR";"payment";"credit"
2224;"Direct debit";-326,41;"2024-04-14 01:52:57";"Intermarche";"refund";"debit"
2225;"Card expense at Leclerc";4599,12;"2023-04-05 12:35:34";"Leclerc";"refund";"credit"
2226;"Refund from Franprix";2810,94;"2023-09-25 09:16:41";"Franprix";"refund";"credit"
2227;"Outgoing transfer";-1454,83;"2023-01-22 01:04:45";"RATP";"refund";"debit"
2228;"Refund from Veolia";-215,82;"2023-08-06 19:36:26";"Veolia";"direct_debit";"debit"
2229;"Subscription to Uber";-1811,11;"2024-03-10 14:41:55";"Uber";"payment";"debit"
2230;"Invoice from Lidl";-1631,12;"2023-03-19 07:38:37";"Lidl";"refund";"debit"
2231;"Direct debit";-526,68;"2023-07-07 09:27:07";"Deliveroo";"transfer";"debit"
2232;"Invoice from Amazon.fr";-716,71;"2023-07-01 09:11:28";"Amazon.fr";"transfer";"debit"
2233;"Outgoing transfer";-1680,98;"2023-01-22 12:21:43";"Uber";"payment";"debit"
2234;"Online payment";-1784,96;"2023-11-20 06:05:00";"Franprix";"direct_debit";"debit"
2235;"Refund from Carrefour";-1888,41;"2023-03-10 15:35:31";"Carrefour";"direct_debit";"debit"
2236;"Card expense at Carrefour";-1358,12;"2023-06-01 20:03:52";"Carrefour";"refund";"debit"
2237;"Incoming transfer";-1260,96;"2023-01-25 19:19:09";"RATP";"payment";"debit"
2238;"Outgoing transfer";352,58;"2024-01-04 12:37:19";"Intermarche";"direct_debit";"credit"
2239;"Invoice from Carrefour";-1846,04;"2024-02-17 03:23:37";"Carrefour";"transfer";"debit"
2240;"Invoice from Orange";-1657,94;"2023-05-12 20:39:25";"Orange";"direct_debit";"debit"
2241;"Purchase at Orange";-1468,19;"2023-11-26 04:43:56";"Orange";"direct_debit";"debit"
2242;"Refund from Veolia";-827,44;"2023-06-04 04:01:11";"Veolia";"payment";"debit"
2243;"Purchase at Uber";-903,21;"2023-04-05 01:07:42";"Uber";"transfer";"debit"
2244;"Incoming transfer";-346,10;"2023-03-16 12:30:23";"La Poste";"payment";"debit"
2245;"Receipt from EDF";1735,60;"2023-03-22 04:24:40";"EDF";"refund";"credit"
2246;"Outgoing transfer";1277,37;"2023-11-01 14:23:22";"Deliveroo";"refund";"credit"
2247;"Card expense at Deliveroo";2299,63;"2024-04-07 08:11:05";"Deliveroo";"refund";"credit"
2248;"Incoming transfer";-261,35;"2023-06-19 15:01:28";"Uber";"transfer";"debit"
2249;"Card expense at Air France";-1413,20;"2023-04-19 22:33:15";"Air France";"payment";"debit"
2250;"Refund from Uber";-38,22;"2024-03-04 01:05:03";"Uber";"payment";"debit"
2251;"Receipt from Lidl";4498,12;"2023-03-10 23:19:45";"Lidl";"payment";"credit"
2252;"Incoming transfer";-894,69;"2023-12-06 14:26:43";"Franprix";"payment";"debit"
2253;"Receipt from Air France";4900,16;"2023-05-09 09:12:39";"Air France";"direct_debit";"credit"
2254;"Outgoing transfer";593,91;"2024-01-21 01:55:53";"Leclerc";"direct_debit";"credit"
2255;"Outgoing transfer";-1727,31;"2023-10-27 11:28:29";"TotalEnergies";"direct_debit";"debit"
2256;"Receipt from Fnac";-1457,05;"2023-06-30 16:27:31";"Fnac";"direct_debit";"debit"
2257;"Outgoing transfer";1933,38;"2023-04-19 20:20:32";"Leclerc";"direct_debit";"credit"
2258;"Subscription to Darty";4907,75;"2024-02-08 08:15:57";"Darty";"transfer";"credit"
2259;"Invoice from Systeme U";4927,54;"2023-05-19 03:14:19";"Systeme U";"payment";"credit"
2260;"Outgoing transfer";-583,64;"2023-03-21 19:03:24";"Monoprix";"refund";"debit"
2261;"Refund from EDF";-722,18;"2023-12-03 13:57:43";"EDF";"payment";"debit"
2262;"Direct debit";-1699,95;"2024-01-07 18:39:10";"RATP";"direct_debit";"debit"
2263;"Refund from Darty";-1456,38;"2023-07-02 05:44:32";"Darty";"transfer";"debit"
2264;"Incoming transfer";-1690,85;"2023-07-07 20:30:18";"Intermarche";"transfer";"debit"
2265;"Card expense at EDF";-1454,17;"2023-12-20 00:15:55";"EDF";"payment";"debit"
2266;"Card expense at Bouygues";-1015,10;"2024-01-20 08:10:41";"Bouygues";"refund";"debit"
2267;"Card expense at Veolia";-1017,89;"2024-02-28 20:12:12";"Veolia";"payment";"debit"
2268;"Outgoing transfer";1541,70;"2024-02-11 14:46:40";"Franprix";"refund";"credit"
2269;"Online payment";-911,53;"2024-04-13 02:50:57";"Transilien";"direct_debit";"debit"
2270;"Outgoing transfer";2212,99;"2024-03-10 05:13:54";"RATP";"payment";"credit"
2271;"Refund from EDF";-1052,02;"2023-02-03 09:23:30";"EDF";"direct_debit";"debit"
2272;"Direct debit";2412,89;"2023-03-14 06:55:02";"Darty";"direct_debit";"credit"
2273;"Invoice from Uber";2061,47;"2023-05-26 11:29:59";"Uber";"payment";"credit"
2274;"Subscription to TotalEnergies";3565,14;"2023-07-10 23:17:20";"TotalEnergies";"payment";"credit"
2275;"Refund from Bouygues";-1198,92;"2023-10-02 05:59:00";"Bouygues";"refund";"debit"
2276;"Receipt from Monoprix";-712,45;"2023-12-05 14:48:03";"Monoprix";"refund";"debit"
2277;"Online payment";-484,73;"2023-04-25 04:25:27";"Veolia";"transfer";"debit"
2278;"Outgoing transfer";1263,07;"2023-03-19 00:09:44";"SNCF";"direct_debit";"credit"
2279;"Refund from Leclerc";-1778,24;"2023-05-22 13:53:33";"Leclerc";"refund";"debit"
2280;"Invoice from Deliveroo";-1047,62;"2023-12-10 08:30:20";"Deliveroo";"direct_debit";"debit"
2281;"Direct debit";-1186,01;"2024-02-19 06:51:19";"Monoprix";"direct_debit";"debit"
2282;"Online payment";-591,71;"2023-07-02 17:31:50";"Lidl";"transfer";"debit"
2283;"Purchase at SFR";-75,00;"2023-03-04 09:41:18";"SFR";"refund";"debit"
2284;"Subscription to Deliveroo";-252,90;"2024-01-13 12:49:07";"Deliveroo";"refund";"debit"
2285;"Refund from SFR";-963,01;"2023-05-21 01:28:11";"SFR";"transfer";"debit"
2286;"Purchase at Air France";-1684,13;"2023-06-21 11:58:44";"Air France";"payment";"debit"
2287;"Card expense at Leclerc";789,53;"2023-07-09 02:18:04";"Leclerc";"direct_debit";"credit"
2288;"Receipt from Amazon.fr";-417,31;"2024-03-27 18:57:59";"Amazon.fr";"payment";"debit"
2289;"Receipt from Auchan";-1204,65;"2023-07-28 10:43:46";"Auchan";"transfer";"debit"
2290;"Subscription to Leclerc";-954,60;"2024-01-05 14:56:12";"Leclerc";"refund";"debit"
2291;"Refund from Fnac";-1006,88;"2023-05-23 08:26:32";"Fnac";"refund";"debit"
2292;"Online payment";51,30;"2024-02-24 06:16:13";"La Poste";"transfer";"credit"
2293;"Invoice from Auchan";-902,48;"2024-04-04 19:19:37";"Auchan";"payment";"debit"
2294;"Online payment";3807,57;"2023-12-16 21:33:00";"Intermarche";"refund";"credit"
2295;"Subscription to Systeme U";-788,68;"2023-04-29 23:46:05";"Systeme U";"transfer";"debit"
2296;"Invoice from Auchan";3545,75;"2023-08-26 19:54:56";"Auchan";"direct_debit";"credit"
2297;"Card expense at Darty";-847,49;"2024-03-20 08:34:23";"Darty";"payment";"debit"
2298;"Purchase at Auchan";-21,39;"2023-07-06 18:13:08";"Auchan";"direct_debit";"debit"
2299;"Subscription to Veolia";-66,39;"2023-10-12 06:06:30";"Veolia";"refund";"debit"
2300;"Receipt from Bouygues";-890,17;"2023-04-18 12:52:36";"Bouygues";"payment";"debit"
2301;"Outgoing transfer";2858,36;"2023-07-08 18:09:57";"SNCF";"transfer";"credit"
2302;"Subscription to Amazon.fr";-1,27;"2023-01-29 18:54:42";"Amazon.fr";"refund";"debit"
2303;"Outgoing transfer";4898,56;"2024-03-04 00:10:24";"Amazon.fr";"refund";"credit"
2304;"Invoice from TotalEnergies";3719,76;"2023-06-08 18:09:07";"TotalEnergies";"refund";"credit"
2305;"Subscription to Lidl";-1101,50;"2023-08-01 03:58:59";"Lidl";"direct_debit";"debit"
2306;"Receipt from Fnac";-1762,22;"2023-09-16 16:25:08";"Fnac";"transfer";"debit"
2307;"Subscription to Veolia";-1499,72;"2024-04-22 01:33:53";"Veolia";"transfer";"debit"
2308;"Outgoing transfer";-756,45;"2023-08-25 09:57:14";"EDF";"transfer";"debit"
2309;"Incoming transfer";-1950,52;"2023-02-09 01:51:03";"EDF";"direct_debit";"debit"
2310;"Direct debit";-1329,83;"2023-03-24 02:36:31";"Systeme U";"payment";"debit"
2311;"Incoming transfer";-350,39;"2023-04-30 08:15:18";"Uber";"refund";"debit"
2312;"Subscription to Systeme U";1286,37;"2023-07-18 13:48:37";"Systeme U";"transfer";"credit"
2313;"Subscription to Bouygues";3283,74;"2023-04-17 00:06:35";"Bouygues";"refund";"credit"
2314;"Card expense at Intermarche";-1421,51;"2024-02-13 21:07:48";"Intermarche";"transfer";"debit"
2315;"Direct debit";-1800,18;"2023-02-11 19:05:49";"SNCF";"refund";"debit"
2316;"Refund from Darty";78,68;"2023-01-06 14:21:47";"Darty";"refund";"credit"
2317;"Receipt from Intermarche";-465,37;"2023-04-13 21:04:10";"Intermarche";"payment";"debit"
2318;"Online payment";-973,00;"2024-02-08 18:40:13";"Systeme U";"refund";"debit"
2319;"Invoice from Lidl";-335,86;"2023-03-13 23:17:13";"Lidl";"direct_debit";"debit"
2320;"Direct debit";-1285,02;"2023-12-19 08:46:36";"Uber";"direct_debit";"debit"
2321;"Subscription to Uber";2030,59;"2023-05-19 18:17:28";"Uber";"direct_debit";"credit"
2322;"Incoming transfer";-303,65;"2023-05-01 11:41:38";"Bouygues";"payment";"debit"
2323;"Purchase at Systeme U";-71,00;"2023-08-11 00:17:51";"Systeme U";"transfer";"debit"
2324;"Direct debit";-71,05;"2024-03-18 04:10:28";"SFR";"payment";"debit"
2325;"Card expense at Monoprix";-28,47;"2023-10-19 18:08:01";"Monoprix";"refund";"debit"
2326;"Incoming transfer";-1149,67;"2023-11-05 21:57:41";"Leclerc";"direct_debit";"debit"
2327;"Subscription to Orange";3943,33;"2023-06-14 06:29:50";"Orange";"refund";"credit"
2328;"Subscription to Bouygues";3129,67;"2023-05-07 06:29:27";"Bouygues";"refund";"credit"
2329;"Online payment";-689,68;"2023-04-21 00:21:26";"Uber";"refund";"debit"
2330;"Incoming transfer";-265,26;"2023-06-06 01:26:44";"La Poste";"payment";"debit"
2331;"Refund from TotalEnergies";-1583,09;"2023-08-02 22:14:41";"TotalEnergies";"direct_debit";"debit"
2332;"Invoice from Carrefour";-1865,41;"2024-01-17 22:00:22";"Carrefour";"refund";"debit"
2333;"Direct debit";2755,25;"2023-08-17 14:29:42";"Intermarche";"direct_debit";"credit"
2334;"Subscription to Uber";-1237,51;"2024-03-16 02:27:20";"Uber";"direct_debit";"debit"
2335;"Receipt from TotalEnergies";507,87;"2024-04-05 20:42:42";"TotalEnergies";"payment";"credit"
2336;"Subscription to SNCF";2268,24;"2023-02-18 17:07:51";"SNCF";"payment";"credit"
2337;"Refund from Fnac";-820,10;"2023-10-14 14:32:31";"Fnac";"payment";"debit"
2338;"Incoming transfer";2401,31;"2023-10-05 03:42:24";"RATP";"transfer";"credit"
2339;"Card expense at Amazon.fr";-583,33;"2023-01-08 20:58:51";"Amazon.fr";"payment";"debit"
2340;"Outgoing transfer";435,31;"2023-03-28 23:09:07";"SFR";"refund";"credit"
2341;"Refund from Deliveroo";-873,29;"2023-11-12 22:43:49";"Deliveroo";"direct_debit";"debit"
2342;"Receipt from Intermarche";2879,63;"2024-01-16 20:13:53";"Intermarche";"transfer";"credit"
2343;"Online payment";-243,54;"2023-10-27 20:13:39";"Carrefour";"direct_debit";"debit"
2344;"Incoming transfer";-1909,87;"2024-04-21 05:04:00";"Bouygues";"transfer";"debit"
2345;"Card expense at EDF";0,77;"2023-08-14 11:29:43";"EDF";"payment";"credit"
2346;"Receipt from Deliveroo";-588,42;"2024-04-19 03:46:32";"Deliveroo";"refund";"debit"
2347;"Outgoing transfer";-1451,27;"2024-04-10 05:01:39";"Transilien";"direct_debit";"debit"
2348;"Card expense at EDF";2263,93;"2023-05-28 23:36:06";"EDF";"refund";"credit"
2349;"Incoming transfer";-1524,24;"2024-03-02 15:30:53";"Uber";"transfer";"debit"
2350;"Card expense at Air France";470,51;"2023-06-24 21:12:33";"Air France";"direct_debit";"credit"
2351;"Purchase at Deliveroo";-1948,47;"2023-08-05 16:30:07";"Deliveroo";"refund";"debit"
2352;"Direct debit";-1034,10;"2023-04-14 21:40:05";"Air France";"transfer";"debit"
2353;"Incoming transfer";-1233,00;"2023-10-02 12:50:12";"Bouygues";"refund";"debit"
2354;"Purchase at Carrefour";-1587,35;"2023-07-06 20:04:33";"Carrefour";"payment";"debit"
2355;"Subscription to Intermarche";2983,11;"2024-01-23 19:30:45";"Intermarche";"transfer";"credit"
2356;"Card expense at Fnac";-392,62;"2024-04-04 16:57:49";"Fnac";"transfer";"debit"
2357;"Direct debit";-731,67;"2024-02-19 05:44:40";"Auchan";"direct_debit";"debit"
2358;"Purchase at Fnac";1476,15;"2023-03-04 06:13:02";"Fnac";"direct_debit";"credit"
2359;"Card expense at Darty";-1299,08;"2024-01-12 01:35:58";"Darty";"direct_debit";"debit"
2360;"Subscription to Bouygues";4506,29;"2024-01-17 16:35:10";"Bouygues";"transfer";"credit"
2361;"Card expense at Fnac";-1646,46;"2023-07-27 07:40:59";"Fnac";"direct_debit";"debit"
2362;"Online payment";-753,89;"2023-07-08 18:41:20";"Leclerc";"payment";"debit"
2363;"Refund from Carrefour";-1771,38;"2024-01-03 12:55:53";"Carrefour";"payment";"debit"
2364;"Incoming transfer";-1473,14;"2023-08-17 17:44:23";"La Poste";"refund";"debit"
2365;"Purchase at TotalEnergies";-892,10;"2023-12-26 09:35:46";"TotalEnergies";"refund";"debit"
2366;"Incoming transfer";-1821,10;"2023-09-23 15:01:23";"Amazon.fr";"transfer";"debit"
2367;"Subscription to Bouygues";2915,02;"2023-03-19 07:41:35";"Bouygues";"direct_debit";"credit"
2368;"Invoice from SNCF";368,09;"2024-01-17 03:17:10";"SNCF";"direct_debit";"credit"
2369;"Incoming transfer";-1696,71;"2023-09-30 20:47:28";"Leclerc";"transfer";"debit"
2370;"Refund from Uber";-1868,28;"2023-05-03 21:21:09";"Uber";"payment";"debit"
2371;"Online payment";1944,31;"2023-12-20 11:19:24";"Fnac";"payment";"credit"
2372;"Refund from Veolia";-1352,02;"2023-03-30 10:59:25";"Veolia";"direct_debit";"debit"
2373;"Receipt from Air France";-862,02;"2024-03-26 16:36:56";"Air France";"refund";"debit"
2374;"Incoming transfer";-781,09;"2023-12-02 15:53:19";"RATP";"direct_debit";"debit"
2375;"Purchase at Auchan";-66,26;"2023-09-18 11:37:50";"Auchan";"direct_debit";"debit"
2376;"Online payment";-341,31;"2024-04-19 12:34:54";"Uber";"direct_debit";"debit"
2377;"Receipt from Franprix";128,14;"2023-06-04 06:51:45";"Franprix";"payment";"credit"
2378;"Invoice from Intermarche";-1578,04;"2023-06-02 17:28:29";"Intermarche";"transfer";"debit"
2379;"Outgoing transfer";1533,58;"2024-02-09 08:28:33";"Carrefour";"transfer";"credit"
2380;"Invoice from Transilien";-1000,59;"2023-11-30 04:39:50";"Transilien";"transfer";"debit"
2381;"Refund from Intermarche";-1485,22;"2023-02-15 11:51:42";"Intermarche";"direct_debit";"debit"
2382;"Receipt from Carrefour";-1802,62;"2024-03-06 09:03:38";"Carrefour";"payment";"debit"
2383;"Outgoing transfer";-1255,62;"2023-02-14 16:05:16";"Monoprix";"payment";"debit"
2384;"Outgoing transfer";-1239,03;"2023-10-15 21:05:36";"RATP";"payment";"debit"
2385;"Online payment";4231,48;"2023-07-07 15:01:57";"Fnac";"transfer";"credit"
2386;"Incoming transfer";-1350,23;"2024-02-11 02:34:21";"Franprix";"direct_debit";"debit"
2387;"Receipt from Air France";-1345,05;"2023-01-11 21:46:07";"Air France";"refund";"debit"
2388;"Refund from TotalEnergies";-1375,64;"2024-03-21 11:22:06";"TotalEnergies";"transfer";"debit"
2389;"Receipt from Auchan";4336,60;"2023-09-10 08:47:08";"Auchan";"direct_debit";"credit"
2390;"Invoice from Air France";-1495,72;"2023-12-04 09:16:03";"Air France";"payment";"debit"
2391;"Receipt from SFR";-27,16;"2023-12-16 16:05:57";"SFR";"transfer";"debit"
2392;"Subscription to Darty";-1898,01;"2024-04-18 02:09:30";"Darty";"payment";"debit"
2393;"Invoice from Leclerc";-1270,92;"2023-02-14 10:05:01";"Leclerc";"direct_debit";"debit"
2394;"Online payment";-1151,58;"2023-08-24 14:01:12";"Air France";"transfer";"debit"
2395;"Card expense at TotalEnergies";4317,15;"2024-02-01 11:47:22";"TotalEnergies";"transfer";"credit"
2396;"Outgoing transfer";-702,87;"2023-12-05 13:43:00";"Veolia";"refund";"debit"
2397;"Incoming transfer";1590,74;"2023-08-29 09:06:41";"Auchan";"direct_debit";"credit"
2398;"Direct debit";3669,85;"2023-03-12 10:58:28";"Lidl";"direct_debit";"credit"
2399;"Purchase at Veolia";-444,78;"2023-08-20 00:11:19";"Veolia";"transfer";"debit"
2400;"Online payment";-1624,11;"2024-04-17 15:57:53";"Orange";"direct_debit";"debit"
2401;"Purchase at Bouygues";-1021,66;"2023-01-29 15:14:00";"Bouygues";"payment";"debit"
2402;"Online payment";-1696,32;"2023-12-25 20:14:19";"RATP";"direct_debit";"debit"
2403;"Subscription to Systeme U";-970,74;"2023-08-14 22:54:12";"Systeme U";"direct_debit";"debit"
2404;"Purchase at Uber";-709,72;"2024-02-18 07:27:31";"Uber";"direct_debit";"debit"
2405;"Direct debit";-116,83;"2023-05-20 02:32:50";"Franprix";"transfer";"debit"
2406;"Incoming transfer";-412,00;"2023-03-14 08:20:11";"Deliveroo";"direct_debit";"debit"
2407;"Purchase at La Poste";3954,32;"2023-06-09 14:14:24";"La Poste";"payment";"credit"
2408;"Direct debit";-1139,31;"2023-10-05 11:13:00";"TotalEnergies";"direct_debit";"debit"
2409;"Refund from SNCF";-76,97;"2024-03-23 04:35:58";"SNCF";"payment";"debit"
2410;"Card expense at Fnac";-1766,03;"2023-08-29 04:05:09";"Fnac";"direct_debit";"debit"
2411;"Invoice from Franprix";-233,18;"2023-02-05 02:31:40";"Franprix";"payment";"debit"
2412;"Direct debit";-600,72;"2023-01-28 05:46:20";"EDF";"payment";"debit"
2413;"Invoice from Carrefour";4393,22;"2023-07-06 19:56:04";"Carrefour";"payment";"credit"
2414;"Outgoing transfer";-1964,08;"2024-01-14 23:35:21";"Veolia";"transfer";"debit"
2415;"Refund from Intermarche";-478,03;"2023-11-10 19:47:53";"Intermarche";"direct_debit";"debit"
2416;"Invoice from Leclerc";-56,11;"2024-02-29 18:09:43";"Leclerc";"payment";"debit"
2417;"Subscription to Air France";-223,33;"2024-03-17 11:01:35";"Air France";"transfer";"debit"
2418;"Receipt from La Poste";-1815,57;"2023-11-12 22:35:06";"La Poste";"payment";"debit"
2419;"Incoming transfer";2169,01;"2023-06-08 14:55:15";"Orange";"transfer";"credit"
2420;"Receipt from RATP";-1416,90;"2023-01-21 10:34:44";"RATP";"payment";"debit"
2421;"Purchase at Lidl";3724,20;"2023-11-14 17:00:03";"Lidl";"refund";"credit"
2422;"Subscription to Air France";4974,87;"2023-04-30 16:50:58";"Air France";"refund";"credit"
2423;"Invoice from La Poste";-1820,96;"2023-07-23 04:25:32";"La Poste";"transfer";"debit"
2424;"Subscription to Uber";-1248,21;"2023-02-15 11:28:44";"Uber";"refund";"debit"
2425;"Subscription to Lidl";1715,94;"2023-09-18 03:44:20";"Lidl";"transfer";"credit"
2426;"Subscription to RATP";1401,52;"2024-03-27 08:43:17";"RATP";"direct_debit";"credit"
2427;"Online payment";1997,61;"2023-04-29 00:30:49";"Transilien";"direct_debit";"credit"
2428;"Refund from Monoprix";2222,73;"2024-04-22 11:59:29";"Monoprix";"payment";"credit"
2429;"Purchase at SFR";-1874,39;"2024-02-17 18:42:49";"SFR";"payment";"debit"
2430;"Invoice from RATP";2440,46;"2023-02-09 02:04:18";"RATP";"direct_debit";"credit"
2431;"Incoming transfer";-1631,45;"2024-03-01 09:54:14";"Intermarche";"direct_debit";"debit"
2432;"Invoice from Franprix";-908,70;"2023-01-10 13:19:01";"Franprix";"refund";"debit"
2433;"Purchase at Systeme U";-142,27;"2023-02-26 01:23:48";"Systeme U";"transfer";"debit"
2434;"Card expense at Amazon.fr";-1952,22;"2023-06-30 18:11:33";"Amazon.fr";"payment";"debit"
2435;"Refund from Bouygues";-1954,55;"2023-03-26 11:06:49";"Bouygues";"payment";"debit"
2436;"Receipt from Amazon.fr";2304,73;"2024-04-24 21:58:53";"Amazon.fr";"refund";"credit"
2437;"Purchase at Transilien";-1590,75;"2024-01-10 23:37:51";"Transilien";"payment";"debit"
2438;"Online payment";-1511,14;"2023-03-04 11:02:35";"RATP";"direct_debit";"debit"
2439;"Card expense at Bouygues";-1447,31;"2023-07-28 23:53:57";"Bouygues";"payment";"debit"
2440;"Refund from Leclerc";-86,96;"2023-11-04 11:29:25";"Leclerc";"refund";"debit"
2441;"Purchase at Deliveroo";578,91;"2023-09-12 07:46:33";"Deliveroo";"transfer";"credit"
2442;"Subscription to Bouygues";-1239,17;"2024-04-03 12:12:53";"Bouygues";"transfer";"debit"
2443;"Purchase at Lidl";-1180,24;"2024-03-30 10:50:11";"Lidl";"refund";"debit"
2444;"Subscription to Air France";-450,57;"2024-03-19 13:21:17";"Air France";"direct_debit";"debit"
2445;"Receipt from Deliveroo";-238,47;"2023-02-21 11:30:33";"Deliveroo";"transfer";"debit"
2446;"Outgoing transfer";-1330,34;"2024-02-16 21:30:26";"Bouygues";"refund";"debit"
2447;"Refund from TotalEnergies";1202,58;"2023-04-05 13:06:07";"TotalEnergies";"payment";"credit"
2448;"Online payment";-1883,08;"2023-05-11 19:55:43";"Veolia";"payment";"debit"
2449;"Receipt from Uber";-289,45;"2023-07-25 16:05:25";"Uber";"refund";"debit"
2450;"Purchase at Bouygues";-761,55;"2023-03-07 15:26:20";"Bouygues";"transfer";"debit"
